Team,First Name,Last Name,Jersey Number,Coach,Team Image Number,Individual Image Number,Alt 1,Alt 2,Alt 3,Alt 4,Alt 5,Buddy Image Number,Parent Name,Address1,Address2,City,State,Zip Code,Country,Cell Phone,Email,Age,Grade,Coach Name,Feet,Inches,Weight,Position,Favorite Pro,Player Stat,Products,Packages,Additional Order,Retouching,Glasses Glare
Fashionistas,Ci'Ani,Joneës,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniRitas,O'riya,Mayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Seniors,Ro'kell,Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Seniors,Haylie,Maldonado-Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J-Fly,Sha'ciah,"Bank""s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNT,Dru,PeÃÅrez-MeÃÅndez (ram'aís),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNT,Sha'ciah,Bankís,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop 1,Sav-annah,PhilÃlip's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop 1,Olivia,RoÏbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop 1,Ja'laya,Shedrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood,Reese',Fleckíab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood,Alana,GroíssÃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood,Channing,D'anton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood,Griselda,PeÃÅrez-MeÃÅndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood,Aubrey,Pooíl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood,rajkumar,praÃd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
